espacio,foto_id,url_directa
"Espacio Urbano 1","urban-1-photo-1","http://localhost:3002/#photo-urban-1-photo-1"
"Espacio Urbano 1","urban-1-photo-2","http://localhost:3002/#photo-urban-1-photo-2"
"Espacio Urbano 1","urban-1-photo-3","http://localhost:3002/#photo-urban-1-photo-3"
"Espacio Urbano 2","urban-2-photo-1","http://localhost:3002/#photo-urban-2-photo-1"
"Espacio Urbano 2","urban-2-photo-2","http://localhost:3002/#photo-urban-2-photo-2"
"Espacio Urbano 2","urban-2-photo-3","http://localhost:3002/#photo-urban-2-photo-3"
"Espacio Urbano 2","urban-2-photo-4","http://localhost:3002/#photo-urban-2-photo-4"
"Espacio Urbano 2","urban-2-photo-5","http://localhost:3002/#photo-urban-2-photo-5"
"Espacio Urbano 3","urban-3-photo-1","http://localhost:3002/#photo-urban-3-photo-1"
"Espacio Urbano 3","urban-3-photo-2","http://localhost:3002/#photo-urban-3-photo-2"
"Espacio Urbano 3","urban-3-photo-3","http://localhost:3002/#photo-urban-3-photo-3"
"Espacio Urbano 3","urban-3-photo-4","http://localhost:3002/#photo-urban-3-photo-4"
"Espacio Urbano 3","urban-3-photo-5","http://localhost:3002/#photo-urban-3-photo-5"
"Espacio Urbano 3","urban-3-photo-6","http://localhost:3002/#photo-urban-3-photo-6"
"Espacio Urbano 3","urban-3-photo-7","http://localhost:3002/#photo-urban-3-photo-7"
"Espacio Urbano 4","urban-4-photo-1","http://localhost:3002/#photo-urban-4-photo-1"
"Espacio Urbano 4","urban-4-photo-2","http://localhost:3002/#photo-urban-4-photo-2"
"Espacio Urbano 4","urban-4-photo-3","http://localhost:3002/#photo-urban-4-photo-3"
"Espacio Urbano 4","urban-4-photo-4","http://localhost:3002/#photo-urban-4-photo-4"
"Espacio Urbano 4","urban-4-photo-5","http://localhost:3002/#photo-urban-4-photo-5"
"Espacio Urbano 4","urban-4-photo-6","http://localhost:3002/#photo-urban-4-photo-6"
"Espacio Urbano 4","urban-4-photo-7","http://localhost:3002/#photo-urban-4-photo-7"
"Espacio Urbano 4","urban-4-photo-8","http://localhost:3002/#photo-urban-4-photo-8"
"Espacio Urbano 5","urban-5-photo-1","http://localhost:3002/#photo-urban-5-photo-1"
"Espacio Urbano 5","urban-5-photo-2","http://localhost:3002/#photo-urban-5-photo-2"
"Espacio Urbano 5","urban-5-photo-3","http://localhost:3002/#photo-urban-5-photo-3"
"Espacio Urbano 5","urban-5-photo-4","http://localhost:3002/#photo-urban-5-photo-4"
"Espacio Urbano 5","urban-5-photo-5","http://localhost:3002/#photo-urban-5-photo-5"
"Espacio Urbano 5","urban-5-photo-6","http://localhost:3002/#photo-urban-5-photo-6"
"Espacio Urbano 5","urban-5-photo-7","http://localhost:3002/#photo-urban-5-photo-7"
"Espacio Urbano 5","urban-5-photo-8","http://localhost:3002/#photo-urban-5-photo-8"
"Espacio Urbano 5","urban-5-photo-9","http://localhost:3002/#photo-urban-5-photo-9"
"Espacio Urbano 5","urban-5-photo-10","http://localhost:3002/#photo-urban-5-photo-10"
"Espacio Urbano 6","urban-6-photo-1","http://localhost:3002/#photo-urban-6-photo-1"
"Espacio Urbano 6","urban-6-photo-2","http://localhost:3002/#photo-urban-6-photo-2"
"Espacio Urbano 6","urban-6-photo-3","http://localhost:3002/#photo-urban-6-photo-3"
"Espacio Urbano 6","urban-6-photo-4","http://localhost:3002/#photo-urban-6-photo-4"
"Espacio Urbano 6","urban-6-photo-5","http://localhost:3002/#photo-urban-6-photo-5"
"Espacio Urbano 6","urban-6-photo-6","http://localhost:3002/#photo-urban-6-photo-6"
"Espacio Urbano 6","urban-6-photo-7","http://localhost:3002/#photo-urban-6-photo-7"
"Espacio Urbano 6","urban-6-photo-8","http://localhost:3002/#photo-urban-6-photo-8"
"Espacio Urbano 6","urban-6-photo-9","http://localhost:3002/#photo-urban-6-photo-9"
"Espacio Urbano 6","urban-6-photo-10","http://localhost:3002/#photo-urban-6-photo-10"
"Espacio Urbano 6","urban-6-photo-11","http://localhost:3002/#photo-urban-6-photo-11"
"Espacio Urbano 6","urban-6-photo-12","http://localhost:3002/#photo-urban-6-photo-12"
"Espacio Urbano 7","urban-7-photo-1","http://localhost:3002/#photo-urban-7-photo-1"
"Espacio Urbano 7","urban-7-photo-2","http://localhost:3002/#photo-urban-7-photo-2"
"Espacio Urbano 7","urban-7-photo-3","http://localhost:3002/#photo-urban-7-photo-3"
"Espacio Urbano 7","urban-7-photo-4","http://localhost:3002/#photo-urban-7-photo-4"
"Espacio Urbano 7","urban-7-photo-5","http://localhost:3002/#photo-urban-7-photo-5"
"Espacio Urbano 7","urban-7-photo-6","http://localhost:3002/#photo-urban-7-photo-6"
"Espacio Urbano 7","urban-7-photo-7","http://localhost:3002/#photo-urban-7-photo-7"
"Espacio Urbano 7","urban-7-photo-8","http://localhost:3002/#photo-urban-7-photo-8"
"Espacio Urbano 7","urban-7-photo-9","http://localhost:3002/#photo-urban-7-photo-9"
"Espacio Urbano 7","urban-7-photo-10","http://localhost:3002/#photo-urban-7-photo-10"
"Espacio Urbano 7","urban-7-photo-11","http://localhost:3002/#photo-urban-7-photo-11"
"Espacio Urbano 7","urban-7-photo-12","http://localhost:3002/#photo-urban-7-photo-12"
"Espacio Urbano 7","urban-7-photo-13","http://localhost:3002/#photo-urban-7-photo-13"
"Espacio Urbano 7","urban-7-photo-14","http://localhost:3002/#photo-urban-7-photo-14"
"Espacio Urbano 7","urban-7-photo-15","http://localhost:3002/#photo-urban-7-photo-15"
"Espacio Urbano 7","urban-7-photo-16","http://localhost:3002/#photo-urban-7-photo-16"
"La Casilla Sala 1","indoor-1-photo-1","http://localhost:3002/#photo-indoor-1-photo-1"
"La Casilla Sala 1","indoor-1-photo-2","http://localhost:3002/#photo-indoor-1-photo-2"
"La Casilla Sala 1","indoor-1-photo-3","http://localhost:3002/#photo-indoor-1-photo-3"
"La Casilla Sala 1","indoor-1-photo-4","http://localhost:3002/#photo-indoor-1-photo-4"
"La Casilla Sala 1","indoor-1-photo-5","http://localhost:3002/#photo-indoor-1-photo-5"
"La Casilla Sala 1","indoor-1-photo-6","http://localhost:3002/#photo-indoor-1-photo-6"
"La Casilla Sala 1","indoor-1-photo-7","http://localhost:3002/#photo-indoor-1-photo-7"
"La Casilla Sala 1","indoor-1-photo-8","http://localhost:3002/#photo-indoor-1-photo-8"
"La Casilla Sala 1","indoor-1-photo-9","http://localhost:3002/#photo-indoor-1-photo-9"
"La Casilla Sala 1","indoor-1-photo-10","http://localhost:3002/#photo-indoor-1-photo-10"
"La Casilla Sala 1","indoor-1-photo-11","http://localhost:3002/#photo-indoor-1-photo-11"
"La Casilla Sala 1","indoor-1-photo-12","http://localhost:3002/#photo-indoor-1-photo-12"
"La Casilla Sala 2","indoor-2-photo-1","http://localhost:3002/#photo-indoor-2-photo-1"
"La Casilla Sala 2","indoor-2-photo-2","http://localhost:3002/#photo-indoor-2-photo-2"
"La Casilla Sala 2","indoor-2-photo-3","http://localhost:3002/#photo-indoor-2-photo-3"
"La Casilla Sala 2","indoor-2-photo-4","http://localhost:3002/#photo-indoor-2-photo-4"
"La Casilla Sala 2","indoor-2-photo-5","http://localhost:3002/#photo-indoor-2-photo-5"
"La Casilla Sala 2","indoor-2-photo-6","http://localhost:3002/#photo-indoor-2-photo-6"
"La Casilla Sala 2","indoor-2-photo-7","http://localhost:3002/#photo-indoor-2-photo-7"
"La Casilla Sala 2","indoor-2-photo-8","http://localhost:3002/#photo-indoor-2-photo-8"
"La Casilla Sala 2","indoor-2-photo-9","http://localhost:3002/#photo-indoor-2-photo-9"
"La Casilla Sala 2","indoor-2-photo-10","http://localhost:3002/#photo-indoor-2-photo-10"
"La Casilla Sala 2","indoor-2-photo-11","http://localhost:3002/#photo-indoor-2-photo-11"
"La Casilla Sala 2","indoor-2-photo-12","http://localhost:3002/#photo-indoor-2-photo-12"
"La Casilla Sala 3","indoor-3-photo-1","http://localhost:3002/#photo-indoor-3-photo-1"
"La Casilla Sala 3","indoor-3-photo-2","http://localhost:3002/#photo-indoor-3-photo-2"
"La Casilla Sala 3","indoor-3-photo-3","http://localhost:3002/#photo-indoor-3-photo-3"
"La Casilla Sala 3","indoor-3-photo-4","http://localhost:3002/#photo-indoor-3-photo-4"
"La Casilla Sala 3","indoor-3-photo-5","http://localhost:3002/#photo-indoor-3-photo-5"
